combattant,date_debut,age_debut,taille_cm,allonge_cm,poids_kg,garde,categorie_debut,cote_debut,adv1,adv1_combats_avant,adv1_pagerank,resultat_debut,methode_debut,nb_combats_total,date_dernier_combat,annee_debut,debut_propre,n_premiers,victoires_3premiers,adv3_combats_moy,adv3_pagerank_moy,adv3_nouveaux,ko_tko_3premiers,soumissions_3premiers,victoires_adv_central_3premiers,frappes_sig_moy_apres3,precision_frappes_apres3,takedowns_moy_apres3,precision_td_apres3,soumissions_tent_moy_apres3,ratio_allonge_taille,au_moins_3_combats,Y_8_combats_plus,dans_cohorte
Roy Nelson,2010-03-31,33,182.88,182.88,119.3,Orthodox,Heavyweight,-350.0,Stefan Struve,4,,V,KO/TKO,18,2017-04-15,2010,0,3,1.0,8.6667,1.3524,0.0,1.0,0.0,0.0,19.5,0.405,0.25,0.125,0.0,1.0,1,1,0
Stefan Struve,2010-03-31,22,210.82,213.36,120.2,Orthodox,Heavyweight,290.0,Roy Nelson,1,,D,KO/TKO,20,2020-10-24,2010,0,3,2.0,0.6667,,1.0,3.0,0.0,0.0,13.4286,0.487,0.2857,0.286,2.0,1.012,1,1,0
Nate Quarry,2010-03-31,38,182.88,182.88,83.9,Open Stance,Middleweight,-230.0,Jorge Rivera,11,,D,KO/TKO,1,2010-03-31,2010,0,1,,,,,,,,,,,,,1.0,0,0,0
Jorge Rivera,2010-03-31,38,185.42,185.42,83.9,Orthodox,Middleweight,190.0,Nate Quarry,9,,V,KO/TKO,4,2012-01-20,2010,0,3,1.0,7.6667,2.3186,0.0,2.0,0.0,0.0,26.5714,0.485,0.5,0.179,0.0714,1.0,1,0,0
Ross Pearson,2010-03-31,25,172.72,175.26,70.3,Orthodox,Lightweight,-220.0,Dennis Siver,7,,V,U-DEC,23,2019-03-30,2010,0,3,2.0,9.3333,0.9726,0.0,0.0,1.0,0.0,54.4,0.406,0.8,0.3,0.0,1.015,1,1,0
Dennis Siver,2010-03-31,31,167.64,177.8,65.8,Orthodox,Lightweight,180.0,Ross Pearson,2,,D,U-DEC,13,2017-06-25,2010,0,3,2.0,6.0,,0.0,0.0,1.0,0.0,28.6,0.319,0.4,0.19,0.3,1.061,1,1,0
Andre Winner,2010-03-31,28,180.34,185.42,70.3,Orthodox,Lightweight,-190.0,Rafaello Oliveira,2,,V,U-DEC,4,2011-07-02,2010,0,3,1.0,4.6667,,0.0,0.0,1.0,0.0,30.8,0.438,0.0,0.0,0.0,1.028,1,0,0
Rafaello Oliveira,2010-03-31,28,172.72,180.34,70.3,Orthodox,Lightweight,165.0,Andre Winner,2,,D,U-DEC,6,2014-02-22,2010,0,3,0.0,9.3333,1.0675,0.0,1.0,1.0,0.0,27.2,0.3,2.0,0.284,0.8,1.044,1,0,0
Jacob Volkmann,2010-03-31,29,175.26,180.34,70.3,Southpaw,Lightweight,190.0,Ronys Torres,1,,V,S-DEC,8,2013-02-02,2010,0,3,3.0,2.3333,,1.0,0.0,0.0,0.0,19.0,0.362,2.6,0.486,1.0,1.029,1,1,0
Ronys Torres,2010-03-31,34,170.18,180.3,70.3,Orthodox,Lightweight,-230.0,Jacob Volkmann,2,,D,S-DEC,1,2010-03-31,2010,0,1,,,,,,,,,,,,,1.059,0,0,0
Rob Emerson,2010-03-31,28,175.26,177.8,70.3,Orthodox,Lightweight,130.0,Nik Lentz,2,,D,U-DEC,1,2010-03-31,2010,0,1,,,,,,,,,,,,,1.014,0,0,0
Nik Lentz,2010-03-31,25,172.72,172.72,70.3,Orthodox,Lightweight,-150.0,Rob Emerson,6,,V,U-DEC,22,2021-01-23,2010,0,3,3.0,6.6667,,0.0,0.0,0.0,0.0,48.2,0.516,4.6,0.452,2.0,1.0,1,1,0
Caol Uno,2010-03-31,34,170.18,177.8,70.3,Southpaw,Lightweight,270.0,Gleison Tibau,10,,D,KO/TKO,1,2010-03-31,2010,0,1,,,,,,,,,,,,,1.045,0,0,0
Gleison Tibau,2010-03-31,26,177.8,180.34,70.3,Southpaw,Lightweight,-330.0,Caol Uno,9,,V,KO/TKO,18,2018-06-01,2010,0,3,2.0,9.0,0.9726,0.0,1.0,0.0,0.0,16.8462,0.351,4.1538,0.585,0.7692,1.014,1,1,0
Yushin Okami,2010-03-31,28,187.96,190.5,77.1,Southpaw,Middleweight,-650.0,Lucio Linhares,1,,V,KO/TKO,12,2018-12-01,2010,0,3,3.0,5.6667,,0.0,1.0,0.0,0.0,29.9167,0.401,1.5833,0.425,0.6667,1.014,1,1,0
Lucio Linhares,2010-03-31,36,187.96,189.2,83.9,Orthodox,Middleweight,475.0,Yushin Okami,9,,D,KO/TKO,1,2010-03-31,2010,0,1,,,,,,,,,,,,,1.007,0,0,0
Gerald Harris,2010-03-31,30,180.34,195.58,83.9,Southpaw,Middleweight,-155.0,Mario Miranda,0,,V,KO/TKO,3,2010-11-20,2010,0,3,2.0,0.0,,3.0,2.0,0.0,0.0,,,,,,1.085,1,0,0
Mario Miranda,2010-03-31,30,190.5,187.96,83.9,Orthodox,Middleweight,135.0,Gerald Harris,1,,D,KO/TKO,4,2011-03-26,2010,1,3,1.0,5.6667,,0.0,2.0,0.0,0.0,24.0,0.467,1.0,0.333,0.0,0.987,1,0,1
Charlie Brenneman,2010-03-31,29,177.8,182.88,70.3,Orthodox,Welterweight,173.0,Jason High,0,,V,U-DEC,11,2014-11-08,2010,1,3,2.0,1.3333,0.5257,1.0,1.0,0.0,0.0,22.6667,0.543,3.6667,0.477,0.0,1.029,1,1,1
Jason High,2010-03-31,28,172.72,180.34,70.3,Southpaw,Welterweight,-205.0,Charlie Brenneman,0,,D,U-DEC,5,2014-06-07,2010,1,3,1.0,2.6667,2.3294,1.0,0.0,2.0,1.0,4.3333,0.18,0.3333,0.333,1.6667,1.044,1,0,1
Anderson Silva,2010-04-10,34,187.96,195.58,83.9,Southpaw,Middleweight,-675.0,Demian Maia,7,,V,U-DEC,14,2020-10-31,2010,0,3,3.0,8.6667,,0.0,1.0,1.0,0.0,30.6154,0.718,0.2308,0.231,0.4615,1.041,1,1,0
